Date,User,Tweets,Device,Coordinates,Place
2023-02-25 23:16:33+00:00,https://twitter.com/IdorenyinIWE,Twitter for Android,"It's looking green for the Labour Party.

@PeterObi is the man. It's good to live a good/transparent life","Coordinates(longitude=-79.639319, latitude=43.403221)","Place(id='3797791ff9c0e4c6', fullName='Toronto, Ontario', name='Toronto', type='city', country='Canada', countryCode='CA')"
2023-02-25 23:16:05+00:00,https://twitter.com/BenardBipialaka,Twitter for Android,"@ObidientsGM Peter obi the president of Nigeria 2023 who God has blessed normal shall put us under all the party is in valued apart from labour party data peter obi
 president. https://t.co/pVVBWtDVf7",,
2023-02-25 23:14:00+00:00,https://twitter.com/FlexyJay9,Twitter for Android,"@adeola20211 Obiedent straight up 

Peter Obi LP (Labour Party) 
Is who I stand for vote for.",,
2023-02-25 23:13:21+00:00,https://twitter.com/LPNgALIMOSHO,Twitter for Android,"@PeterObi @NgLabour why are you quiet? Is it till they pour sand in the two eyes you'll wake up to so something? They're totally rigging in River State, wake obi wake up labourparty. Stop sleeping",,
2023-02-25 23:12:29+00:00,https://twitter.com/JoshuaUmoh10,Twitter Web App,SAVE OUR FUTURE 💉💉#2023elections#peterobi#labourparty#obidatti2023 https://t.co/E3Q6VXrqnT,,
2023-02-25 23:11:07+00:00,https://twitter.com/thekingship12,Twitter for Android,"This Peter Obi frame will be in all offices come May 29th.
Can we have 20k likes if you believe?
.
Labour Party, LP and APC, No Structure, BVAS, Yorubas, Kwankwaso, Sanwo Olu,APC 6, Katsina, Bourdillon, Kano, Kaduna, Banky, Egbeda,City Boy,Lagos, Akin Alabi, #NigeriaElections2023 https://t.co/7f3agTY729",,
2023-02-25 23:10:12+00:00,https://twitter.com/arhumima,Twitter for Android,"Labour Party should zoom in on this matter
@PeterObi @Niglabour #Obidients","Coordinates(longitude=7.9136547, latitude=4.6265583)","Place(id='0054df80408965f1', fullName='Eket, Nigeria', name='Eket', type='city', country='Nigeria', countryCode='NG')"
2023-02-25 23:10:10+00:00,https://twitter.com/chiadesmondn,Twitter for Android,"Mr @PeterObi winning fatly

Nkpor Polling Unit 010, Nkpor Junction in ldemili North LGA, Anambra State

Presidential
Labour Party- 140
YPP- 00
APC- 00
APGA- 00
PDP- 01
APN- 01
Invalid- 2",,
2023-02-25 23:10:09+00:00,https://twitter.com/CommonSenseSis,Twitter Web App,"@Omonioboli IG live is so sweet now!! They are counting #ObiDient votes. Labour Party and Peter Obi at at over 300 votes currently, join the live ohhhhhh",,
2023-02-25 23:10:01+00:00,https://twitter.com/SlayedbySmith,Twitter for Android,"@inecnigeria we're watching you carefully, we have lot of proves of the inec votes papers we snapped, we stand for 
@PeterObi cos we all want a better Nigeria #LabourParty",,
